attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,341,QoS Data,2026-06-22T16:46:58.420729000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,343,QoS Data,2026-06-22T16:46:58.422948000Z,-34,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,345,QoS Data,2026-06-22T16:46:58.428551000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,347,QoS Data,2026-06-22T16:46:58.430895000Z,-32,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,349,QoS Data,2026-06-22T16:46:58.651905000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,351,QoS Data,2026-06-22T16:46:58.653988000Z,-31,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,352,QoS Data,2026-06-22T16:46:58.657014000Z,-34,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,378,QoS Data,2026-06-22T16:47:03.444139000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,380,QoS Data,2026-06-22T16:47:03.446932000Z,-32,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,382,QoS Data,2026-06-22T16:47:03.452482000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,384,QoS Data,2026-06-22T16:47:03.454877000Z,-33,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,387,QoS Data,2026-06-22T16:47:03.654219000Z,-33,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,401,QoS Data,2026-06-22T16:47:08.467309000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
