packet_number,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
515,S1G Beacon,61,34,-79,920,3,1,,,,,,,0,0
516,S1G Beacon,129,34,-78,920,3,1,,,,,,,0,0
520,S1G Beacon,61,34,-74,920,3,1,,,,,,,0,0
521,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
522,S1G Beacon,61,34,-76,920,3,1,,,,,,,0,0
525,S1G Beacon,129,34,-78,920,3,1,,,,,,,0,0
526,S1G Beacon,61,34,-79,920,3,1,,,,,,,0,0
527,S1G Beacon,129,34,-79,920,3,1,,,,,,,0,0
528,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
530,S1G Beacon,129,34,-76,920,3,1,,,,,,,0,0
531,S1G Beacon,129,34,-76,920,3,1,,,,,,,0,0
532,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
534,S1G Beacon,129,34,-78,920,3,1,,,,,,,0,0
535,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
536,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
537,S1G Beacon,61,34,-75,920,3,1,,,,,,,0,0
539,S1G Beacon,129,34,-74,920,3,1,,,,,,,0,0
541,S1G Beacon,61,34,-74,920,3,1,,,,,,,0,0
543,S1G Beacon,129,34,-71,920,3,1,,,,,,,0,0
545,S1G Beacon,61,34,-76,920,3,1,,,,,,,0,0
547,S1G Beacon,129,34,-79,920,3,1,,,,,,,0,0
548,Probe Request,81,34,-30,920,0,4,0,0,0,0,0,0,0,0
550,S1G Beacon,129,34,-76,920,3,1,,,,,,,0,0
551,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
552,Authentication,68,34,-28,920,0,11,0,0,1,0,0,0,720,0
554,Authentication,68,34,-80,920,0,11,0,0,0,0,0,0,720,0
556,Association Request,124,34,-25,920,0,0,0,0,0,0,0,0,720,0
557,Association Request,124,34,-26,920,0,0,0,0,1,0,0,0,720,0
559,Association Response,155,34,-75,920,0,1,0,0,0,0,0,0,720,0
561,Action,71,34,-27,920,0,13,0,0,0,0,0,0,720,0
563,Action,71,34,-78,920,0,13,0,0,0,0,0,0,720,0
567,S1G Beacon,129,34,-80,920,3,1,,,,,,,0,0
575,S1G Beacon,61,34,-72,920,3,1,,,,,,,0,0
579,S1G Beacon,129,34,-72,920,3,1,,,,,,,0,0
583,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
597,S1G Beacon,61,34,-72,920,3,1,,,,,,,0,0
599,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
600,S1G Beacon,61,34,-74,920,3,1,,,,,,,0,0
602,S1G Beacon,129,34,-74,920,3,1,,,,,,,0,0
607,S1G Beacon,61,34,-73,920,3,1,,,,,,,0,0
608,S1G Beacon,129,34,-74,920,3,1,,,,,,,0,0
609,S1G Beacon,61,34,-74,920,3,1,,,,,,,0,0
611,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
612,S1G Beacon,61,34,-72,920,3,1,,,,,,,0,0
616,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
618,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
619,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
620,S1G Beacon,61,34,-75,920,3,1,,,,,,,0,0
621,S1G Beacon,129,34,-74,920,3,1,,,,,,,0,0
623,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
627,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
633,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
634,S1G Beacon,129,34,-77,920,3,1,,,,,,,0,0
636,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
637,S1G Beacon,129,34,-80,920,3,1,,,,,,,0,0
638,S1G Beacon,61,34,-79,920,3,1,,,,,,,0,0
641,S1G Beacon,61,34,-76,920,3,1,,,,,,,0,0
642,S1G Beacon,129,34,-77,920,3,1,,,,,,,0,0
